Responden;Aplikasi;KP1;KP2;KP3;KP4;KP5;KP6;KP7;KP8;KP9;KP10
R1;Spotify;3;3;3;3;3;2;3;4;3;3
R2;Spotify;2;4;4;4;4;4;4;3;3;4
R3;Apple Music;3;4;4;3;3;3;4;4;2;3
R4;Spotify;4;4;3;3;4;3;3;4;4;4
R5;Spotify;4;4;4;4;4;4;4;4;4;4
R6;Spotify;4;4;2;3;3;1;2;4;3;3
R7;Spotify;4;3;4;4;4;1;3;4;4;4
R8;Spotify;4;3;3;2;4;3;2;3;3;3
R9;Spotify;4;4;4;4;4;4;4;4;4;4
R10;Spotify;3;1;4;3;1;4;3;1;1;2
R11;Spotify;4;4;3;4;4;3;4;4;4;4
R12;Spotify;4;4;3;3;3;2;2;4;3;4
R13;Spotify;4;4;4;4;4;3;3;4;4;4
R14;Apple Music;3;3;2;3;2;3;2;4;3;2
R15;Spotify;4;4;3;4;4;3;3;2;3;4
R16;Apple Music;2;2;2;2;3;1;3;2;3;3
R17;Apple Music;3;4;3;4;4;4;4;3;4;3
R18;Apple Music;3;3;2;3;3;3;2;4;3;4
R19;Spotify;4;4;3;4;4;3;3;4;4;4
R20;Spotify;4;4;4;4;4;2;2;4;3;4
R21;Spotify;4;4;4;4;4;4;4;4;4;4
R22;Apple Music;4;4;4;4;4;4;4;4;4;4
R23;Apple Music;3;4;3;4;3;2;1;4;3;4
R24;Apple Music;4;4;4;4;4;4;4;4;4;4
R25;Spotify;4;4;4;4;4;4;4;4;4;4
R26;Spotify;4;4;4;4;4;4;4;4;4;4
R27;Apple Music;4;4;4;4;4;3;4;4;4;4
R28;Spotify;4;4;4;4;4;4;4;4;4;4
R29;Apple Music;4;4;4;4;4;4;4;4;4;4
R30;Spotify;4;4;4;4;4;3;4;4;4;4
R31;Spotify;4;3;4;4;4;4;3;3;4;4
R32;Spotify;4;4;4;4;4;3;4;4;4;4
R33;Spotify;4;4;4;4;4;3;3;4;4;4
R34;Spotify;4;3;3;3;3;3;3;3;3;3
R35;Spotify;4;4;4;3;4;3;3;4;4;3
R36;Spotify;3;4;3;3;3;3;3;3;3;4
R37;Spotify;4;4;4;3;4;3;3;4;4;4
R38;Spotify;4;4;4;4;4;4;4;4;4;4
R39;Spotify;4;4;3;3;3;2;1;4;3;4
R40;Spotify;4;4;3;4;4;2;2;4;4;4
R41;Spotify;4;4;4;4;4;3;3;4;4;4
R42;Spotify;4;4;4;4;4;2;3;4;4;4
R43;Spotify;4;4;4;4;4;3;3;4;4;4
R44;Spotify;4;4;4;4;4;4;4;4;4;4
R45;Spotify;4;4;4;4;4;3;3;4;4;4
R46;Spotify;4;4;4;4;4;3;2;4;4;4
R47;Spotify;4;4;3;3;3;3;1;4;4;4
R48;Apple Music;4;4;2;4;2;2;2;4;3;3
R49;Spotify;4;4;4;4;4;2;1;4;3;4
R50;Apple Music;4;4;4;4;4;3;3;4;4;4
R51;Spotify;4;4;4;4;4;2;2;4;3;4
R52;Apple Music;4;4;3;3;4;3;4;4;3;3
R53;Spotify;4;3;3;3;3;3;3;4;3;3
R54;Apple Music;4;4;2;3;2;2;1;4;2;3
R55;Spotify;4;4;4;4;4;2;1;4;3;4
R56;Spotify;4;4;2;4;4;1;1;4;4;4
R57;Spotify;4;4;4;4;4;3;3;4;4;4
R58;Spotify;4;4;3;4;4;3;4;3;3;4
R59;Spotify;1;1;4;2;3;1;4;4;1;4
R60;Apple Music;1;3;3;2;3;1;1;2;4;4
R61;Spotify;4;4;4;4;4;1;1;4;2;3
R62;Spotify;4;4;4;4;4;3;3;4;4;4
R63;Spotify;4;4;4;4;4;2;2;4;3;4
R64;Spotify;1;3;3;4;4;3;1;3;2;2
R65;Spotify;4;4;4;4;4;3;2;4;3;4
R66;Apple Music;4;4;4;4;4;2;3;4;4;4
R67;Apple Music;4;4;3;4;3;2;2;4;4;4
R68;Spotify;4;4;4;4;4;2;3;4;4;4
R69;Apple Music;4;4;3;3;4;2;2;4;4;4
R70;Spotify;4;4;4;4;4;1;1;4;3;4
R71;Spotify;4;4;4;4;4;1;1;4;3;4
R72;Spotify;4;4;4;4;4;2;2;4;3;4
R73;Spotify;4;4;4;4;4;4;4;4;4;4
R74;Spotify;4;4;4;4;4;4;4;4;4;4
R75;Apple Music;3;4;3;3;3;2;3;3;3;3
R76;Apple Music;3;4;3;3;3;3;3;3;3;3
R77;Spotify;4;4;4;4;4;4;4;4;4;4
R78;Spotify;4;4;4;4;3;2;3;4;4;4
R79;Spotify;4;4;4;4;4;3;3;4;4;4
R80;Apple Music;4;4;4;3;3;1;2;4;3;3
R81;Spotify;4;4;4;3;4;2;3;4;4;4
R82;Spotify;4;3;4;3;4;2;3;3;4;4
R83;Spotify;4;3;4;4;4;4;4;3;4;3
R84;Apple Music;4;4;4;3;3;3;2;4;3;4
R85;Spotify;4;4;4;4;4;3;3;4;4;4
R86;Spotify;4;4;3;3;4;2;1;4;3;4
R87;Spotify;4;4;4;4;4;3;2;4;3;3
R88;Apple Music;4;4;2;4;4;2;2;4;3;4
R89;Spotify;4;4;4;4;4;1;1;4;3;4
R90;Apple Music;4;4;4;4;4;4;4;4;4;4
R91;Spotify;4;4;4;4;4;3;3;4;4;4
R92;Apple Music;4;4;4;4;4;2;3;4;4;4
R93;Spotify;4;4;4;4;4;2;2;4;3;4
R94;Apple Music;4;4;3;3;4;2;2;4;3;3
R95;Spotify;4;4;3;3;4;2;1;4;3;4
R96;Apple Music;4;3;3;3;2;2;3;4;4;3
R97;Spotify;4;4;3;3;4;2;2;4;4;4
R98;Spotify;4;4;4;4;3;3;3;4;3;4
R99;Spotify;4;4;4;3;4;2;1;4;4;4
R100;Spotify;4;4;3;4;4;1;1;4;3;3
R101;Spotify;4;4;4;3;4;3;2;4;3;3
R102;Apple Music;4;4;4;4;4;4;4;4;4;4
R103;Apple Music;4;4;4;4;4;3;3;4;4;4
R104;Spotify;4;4;4;4;4;4;4;4;4;4
R105;Apple Music;4;4;3;3;4;4;4;4;4;4
R106;Apple Music;4;4;4;4;4;3;4;4;4;4
R107;Apple Music;4;4;4;4;4;3;4;4;4;4
R108;Apple Music;4;4;4;4;4;3;3;4;3;3
R109;Spotify;4;4;4;4;4;4;4;4;4;4
R110;Spotify;4;4;4;4;4;4;4;4;4;4
R111;Spotify;4;4;4;4;4;4;4;4;4;4
R112;Apple Music;4;4;4;4;4;2;3;4;3;3
R113;Spotify;4;4;4;4;4;4;4;4;4;4
R114;Spotify;4;4;4;4;4;4;4;4;4;4
R115;Spotify;4;4;4;4;4;4;4;4;4;4
R116;Spotify;4;4;4;4;4;4;4;4;4;4
R117;Apple Music;4;4;4;4;4;2;3;4;3;3
R118;Spotify;4;4;4;4;4;1;1;4;2;4
R119;Spotify;4;4;4;4;4;3;3;4;4;4
R120;Apple Music;4;4;4;4;3;3;4;4;4;4
R121;Apple Music;4;4;4;4;4;2;2;4;3;3
R122;Spotify;4;4;4;4;4;4;4;4;4;4
R123;Spotify;4;4;4;4;4;4;4;4;4;4
R124;Spotify;4;4;4;4;4;3;3;4;3;3
R125;Spotify;4;4;4;4;4;3;2;4;3;3
R126;Spotify;4;4;4;4;4;3;3;4;3;4
R127;Spotify;4;4;4;4;4;4;4;4;4;4
R128;Apple Music;4;4;4;4;4;3;3;3;3;4
R129;Apple Music;3;4;3;3;3;3;3;4;4;4
R130;Spotify;4;4;4;4;4;4;4;4;4;4
R131;Apple Music;4;4;4;4;4;2;2;3;3;3
R132;Apple Music;4;4;4;4;4;4;4;4;4;4
R133;Spotify;4;4;4;4;4;4;4;4;4;4
R134;Apple Music;4;4;4;4;4;3;3;4;3;3
R135;Spotify;4;4;4;4;4;4;4;4;4;4
R136;Spotify;4;4;4;4;4;4;4;4;4;4
R137;Spotify;4;4;3;4;4;3;2;4;4;4
R138;Apple Music;4;4;4;4;4;3;4;4;4;4
R139;Spotify;4;4;3;3;4;1;3;4;4;3
R140;Apple Music;3;3;3;3;4;3;3;3;3;4
R141;Spotify;4;4;3;3;4;2;1;4;3;4
R142;Spotify;4;4;3;3;3;2;3;4;3;4
R143;Spotify;4;4;4;4;4;3;3;4;4;4
R144;Apple Music;4;4;3;3;2;2;2;4;3;3
R145;Spotify;3;3;2;3;1;1;1;3;2;2
R146;Spotify;4;4;2;3;2;2;1;3;3;3
